case,slice,format_validity,retried,day_accuracy,critical_error_rate,critical_flips,gold_unavailable_days,hallucination_rate,hallucinated_notes,predicted_notes,note_fidelity,gold_notes,captured_notes
sample_01_clean,clean,True,False,1.0,0.0,[],7,0.0,0,5,1.0,5,5
sample_02_rotated,rotated,True,False,0.9354838709677419,0.14285714285714285,"[""2026-07-04""]",7,1.0,2,2,0.0,2,0
sample_03_lowcontrast,lowcontrast,True,False,1.0,0.0,[],11,0.0,0,6,1.0,6,6
sample_04_handwritten,handwritten,True,False,1.0,0.0,[],10,0.0,0,4,1.0,4,4
sample_05_clean,clean,True,False,1.0,0.0,[],9,0.0,0,7,1.0,7,7
sample_06_rotated,rotated,True,False,0.967741935483871,0.0,[],7,0.0,0,4,0.8,5,4
sample_07_lowcontrast,lowcontrast,True,False,1.0,0.0,[],9,,0,0,,0,0
sample_08_handwritten,handwritten,True,False,1.0,0.0,[],7,0.0,0,2,1.0,2,2
sample_09_clean,clean,True,False,1.0,0.0,[],9,0.0,0,2,1.0,2,2
sample_10_rotated,rotated,True,False,1.0,0.0,[],6,0.3333333333333333,1,3,0.6666666666666666,3,2
sample_11_lowcontrast,lowcontrast,True,False,0.7096774193548387,0.2727272727272727,"[""2026-07-04"", ""2026-07-08"", ""2026-07-11""]",11,0.0,0,1,1.0,1,1
sample_12_handwritten,handwritten,True,False,1.0,0.0,[],6,0.0,0,1,1.0,1,1
sample_13_clean,clean,True,False,1.0,0.0,[],4,0.2,1,5,0.8,5,4
sample_14_rotated,rotated,True,False,0.9354838709677419,0.0,[],9,0.0,0,2,1.0,2,2
sample_15_lowcontrast,lowcontrast,True,False,1.0,0.0,[],7,0.0,0,1,1.0,1,1
sample_16_handwritten,handwritten,True,False,1.0,0.0,[],12,0.0,0,3,1.0,3,3
sample_17_clean,clean,True,False,1.0,0.0,[],7,0.0,0,6,1.0,6,6
sample_18_rotated,rotated,True,False,0.967741935483871,0.0,[],6,0.5,1,2,0.5,2,1
sample_19_lowcontrast,lowcontrast,True,False,1.0,0.0,[],9,0.0,0,5,1.0,5,5
sample_20_handwritten,handwritten,True,False,1.0,0.0,[],9,0.0,0,6,1.0,6,6
sample_21_clean,clean,True,False,1.0,0.0,[],9,0.0,0,5,1.0,5,5
sample_22_rotated,rotated,True,False,1.0,0.0,[],6,0.0,0,3,1.0,3,3
sample_23_lowcontrast,lowcontrast,True,False,0.9032258064516129,0.0,[],9,,0,0,,0,0
sample_24_handwritten,handwritten,True,False,1.0,0.0,[],6,0.0,0,4,1.0,4,4
sample_25_clean,clean,True,False,1.0,0.0,[],4,0.0,0,3,1.0,3,3
sample_26_rotated,rotated,True,False,0.9354838709677419,0.0,[],5,0.2,1,5,0.8,5,4
sample_27_lowcontrast,lowcontrast,True,False,0.9354838709677419,0.1,"[""2026-07-04""]",10,0.0,0,3,1.0,3,3
sample_28_handwritten,handwritten,True,False,1.0,0.0,[],14,0.0,0,5,1.0,5,5
sample_29_clean,clean,True,False,1.0,0.0,[],5,0.0,0,2,1.0,2,2
sample_30_rotated,rotated,True,False,1.0,0.0,[],8,0.0,0,3,1.0,3,3
sample_31_lowcontrast,lowcontrast,True,False,0.8709677419354839,0.16666666666666666,"[""2026-07-12""]",6,0.14285714285714285,1,7,0.8571428571428571,7,6
sample_32_handwritten,handwritten,True,False,1.0,0.0,[],8,0.0,0,7,1.0,7,7
sample_33_clean,clean,True,False,1.0,0.0,[],5,0.0,0,4,1.0,4,4
sample_34_rotated,rotated,True,False,1.0,0.0,[],11,0.0,0,3,1.0,3,3
sample_35_lowcontrast,lowcontrast,True,False,1.0,0.0,[],6,0.0,0,1,1.0,1,1
sample_36_handwritten,handwritten,True,False,1.0,0.0,[],7,0.0,0,5,1.0,5,5
sample_37_clean,clean,True,False,1.0,0.0,[],6,0.0,0,2,1.0,2,2
sample_38_rotated,rotated,True,False,1.0,0.0,[],10,0.5,2,4,0.5,4,2
sample_39_lowcontrast,lowcontrast,True,False,1.0,0.0,[],9,0.0,0,8,1.0,8,8
sample_40_handwritten,handwritten,True,False,1.0,0.0,[],10,0.0,0,4,1.0,4,4
